Company,Year,Value
ABB Ltd (SWX:ABBN),2016,17270.0
ABB Ltd (SWX:ABBN),2017,17278.0
ABB Ltd (SWX:ABBN),2018,19059.0
ABB Ltd (SWX:ABBN),2019,19018.0
ABB Ltd (SWX:ABBN),2020,18123.0
ABB Ltd (SWX:ABBN),2021,19407.0
ABB Ltd (SWX:ABBN),2022,19712.0
ABB Ltd (SWX:ABBN),2023,9879.678571428603
ABB Ltd (SWX:ABBN),2024,10122.197857142866
ABB Ltd (SWX:ABBN),2025,10364.717142857127
ABB Ltd (SWX:ABBN),2026,10607.23642857139
ABB Ltd (SWX:ABBN),2027,10849.755714285653
"Amazon.com, Inc. (NasdaqGS:AMZN)",2016,88265.0
"Amazon.com, Inc. (NasdaqGS:AMZN)",2017,111934.0
"Amazon.com, Inc. (NasdaqGS:AMZN)",2018,139156.0
"Amazon.com, Inc. (NasdaqGS:AMZN)",2019,165536.0
"Amazon.com, Inc. (NasdaqGS:AMZN)",2020,233307.0
"Amazon.com, Inc. (NasdaqGS:AMZN)",2021,272344.0
"Amazon.com, Inc. (NasdaqGS:AMZN)",2022,288831.0
"Amazon.com, Inc. (NasdaqGS:AMZN)",2023,20073.571428570223
"Amazon.com, Inc. (NasdaqGS:AMZN)",2024,20453.857142855915
"Amazon.com, Inc. (NasdaqGS:AMZN)",2025,20834.14285714161
"Amazon.com, Inc. (NasdaqGS:AMZN)",2026,21214.428571427303
"Amazon.com, Inc. (NasdaqGS:AMZN)",2027,21594.714285713
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2016,17663.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2017,18121.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2018,19225.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2019,18575.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2020,17206.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2021,18918.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2022,20242.0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2023,4047.1585714285434
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2024,4251.738928571389
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2025,4456.319285714235
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2026,4660.899642857081
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2027,4865.479999999927
Intel Corporation (NasdaqGS:INTC),2016,22767.0
Intel Corporation (NasdaqGS:INTC),2017,23663.0
Intel Corporation (NasdaqGS:INTC),2018,27111.0
Intel Corporation (NasdaqGS:INTC),2019,29825.0
Intel Corporation (NasdaqGS:INTC),2020,34255.0
Intel Corporation (NasdaqGS:INTC),2021,35209.0
Intel Corporation (NasdaqGS:INTC),2022,36188.0
Intel Corporation (NasdaqGS:INTC),2023,11640.754285713954
Intel Corporation (NasdaqGS:INTC),2024,12747.839642856741
Intel Corporation (NasdaqGS:INTC),2025,13854.924999999528
Intel Corporation (NasdaqGS:INTC),2026,14962.010357142315
Intel Corporation (NasdaqGS:INTC),2027,16069.095714285102
Kyocera Corporation (TSE:6971),2016,6981.16
Kyocera Corporation (TSE:6971),2017,7558.96
Kyocera Corporation (TSE:6971),2018,8281.95
Kyocera Corporation (TSE:6971),2019,7741.86
Kyocera Corporation (TSE:6971),2020,7430.67
Kyocera Corporation (TSE:6971),2021,8595.52
Kyocera Corporation (TSE:6971),2022,9663.65
Kyocera Corporation (TSE:6971),2023,13110.488571429027
Kyocera Corporation (TSE:6971),2024,13564.551071428948
Kyocera Corporation (TSE:6971),2025,14018.61357142887
Kyocera Corporation (TSE:6971),2026,14472.67607142879
Kyocera Corporation (TSE:6971),2027,14926.738571428712
Microsoft Corporation (NasdaqGS:MSFT),2016,33446.0
Microsoft Corporation (NasdaqGS:MSFT),2017,35447.0
Microsoft Corporation (NasdaqGS:MSFT),2018,41339.0
Microsoft Corporation (NasdaqGS:MSFT),2019,43346.0
Microsoft Corporation (NasdaqGS:MSFT),2020,48510.0
Microsoft Corporation (NasdaqGS:MSFT),2021,57642.0
Microsoft Corporation (NasdaqGS:MSFT),2022,64984.0
Microsoft Corporation (NasdaqGS:MSFT),2023,7572.56714285755
Microsoft Corporation (NasdaqGS:MSFT),2024,7374.490714286131
Microsoft Corporation (NasdaqGS:MSFT),2025,7176.414285714713
Microsoft Corporation (NasdaqGS:MSFT),2026,6978.337857143294
Microsoft Corporation (NasdaqGS:MSFT),2027,6780.2614285718755
Oracle Corporation (NYSE:ORCL),2016,7349.0
Oracle Corporation (NYSE:ORCL),2017,7785.0
Oracle Corporation (NYSE:ORCL),2018,8127.0
Oracle Corporation (NYSE:ORCL),2019,8044.0
Oracle Corporation (NYSE:ORCL),2020,7752.0
Oracle Corporation (NYSE:ORCL),2021,8297.0
Oracle Corporation (NYSE:ORCL),2022,11011.0
Oracle Corporation (NYSE:ORCL),2023,20539.285714285303
Oracle Corporation (NYSE:ORCL),2024,22156.357142856632
Oracle Corporation (NYSE:ORCL),2025,23773.42857142796
Oracle Corporation (NYSE:ORCL),2026,25390.499999999294
Oracle Corporation (NYSE:ORCL),2027,27007.571428570624
"Roper Technologies, Inc. (NasdaqGS:ROP)",2016,1457.5
"Roper Technologies, Inc. (NasdaqGS:ROP)",2017,1742.7
"Roper Technologies, Inc. (NasdaqGS:ROP)",2018,1911.7
"Roper Technologies, Inc. (NasdaqGS:ROP)",2019,1587.6
"Roper Technologies, Inc. (NasdaqGS:ROP)",2020,1194.1
"Roper Technologies, Inc. (NasdaqGS:ROP)",2021,1426.2
"Roper Technologies, Inc. (NasdaqGS:ROP)",2022,1619.0
"Roper Technologies, Inc. (NasdaqGS:ROP)",2023,8387.064285713846
"Roper Technologies, Inc. (NasdaqGS:ROP)",2024,8694.671785713821
"Roper Technologies, Inc. (NasdaqGS:ROP)",2025,9002.279285713797
"Roper Technologies, Inc. (NasdaqGS:ROP)",2026,9309.886785713774
"Roper Technologies, Inc. (NasdaqGS:ROP)",2027,9617.49428571375
Sony Group Corporation (TSE:6758),2016,31789.85
Sony Group Corporation (TSE:6758),2017,34538.18
Sony Group Corporation (TSE:6758),2018,34513.93
Sony Group Corporation (TSE:6758),2019,32611.09
Sony Group Corporation (TSE:6758),2020,32625.42
Sony Group Corporation (TSE:6758),2021,38391.56
Sony Group Corporation (TSE:6758),2022,44835.76
Sony Group Corporation (TSE:6758),2023,12337.000000000682
Sony Group Corporation (TSE:6758),2024,11846.25000000073
Sony Group Corporation (TSE:6758),2025,11355.500000000777
Sony Group Corporation (TSE:6758),2026,10864.750000000824
Sony Group Corporation (TSE:6758),2027,10374.000000000871
Thales S.A. (ENXTPA:HO),2016,11963.71
Thales S.A. (ENXTPA:HO),2017,12218.25
Thales S.A. (ENXTPA:HO),2018,12593.42
Thales S.A. (ENXTPA:HO),2019,14723.93
Thales S.A. (ENXTPA:HO),2020,12510.56
Thales S.A. (ENXTPA:HO),2021,12900.69
Thales S.A. (ENXTPA:HO),2022,13858.57
Thales S.A. (ENXTPA:HO),2023,1511.189999999979
Thales S.A. (ENXTPA:HO),2024,1665.973571428541
Thales S.A. (ENXTPA:HO),2025,1820.757142857103
Thales S.A. (ENXTPA:HO),2026,1975.540714285665
Thales S.A. (ENXTPA:HO),2027,2130.3242857142272
Apple Inc. (NasdaqGS:AAPL),2016,134102.0
Apple Inc. (NasdaqGS:AAPL),2017,147254.0
Apple Inc. (NasdaqGS:AAPL),2018,161654.0
Apple Inc. (NasdaqGS:AAPL),2019,166105.0
Apple Inc. (NasdaqGS:AAPL),2020,180068.0
Apple Inc. (NasdaqGS:AAPL),2021,215572.0
Apple Inc. (NasdaqGS:AAPL),2022,220666.0
Apple Inc. (NasdaqGS:AAPL),2023,1202.2728571430068
Apple Inc. (NasdaqGS:AAPL),2024,1124.5164285715823
Apple Inc. (NasdaqGS:AAPL),2025,1046.760000000158
Apple Inc. (NasdaqGS:AAPL),2026,969.0035714287336
Apple Inc. (NasdaqGS:AAPL),2027,891.2471428573092
ASUSTeK Computer Inc. (TWSE:2357),2016,12372.6
ASUSTeK Computer Inc. (TWSE:2357),2017,10239.58
ASUSTeK Computer Inc. (TWSE:2357),2018,9333.25
ASUSTeK Computer Inc. (TWSE:2357),2019,9199.48
ASUSTeK Computer Inc. (TWSE:2357),2020,10487.85
ASUSTeK Computer Inc. (TWSE:2357),2021,13124.62
ASUSTeK Computer Inc. (TWSE:2357),2022,14302.29
ASUSTeK Computer Inc. (TWSE:2357),2023,3277.714285714302
ASUSTeK Computer Inc. (TWSE:2357),2024,3472.2500000000027
ASUSTeK Computer Inc. (TWSE:2357),2025,3666.785714285703
ASUSTeK Computer Inc. (TWSE:2357),2026,3861.321428571403
ASUSTeK Computer Inc. (TWSE:2357),2027,4055.8571428571036
BorgWarner Inc. (NYSE:BWA),2016,7142.3
